airline,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price,month,day
IndiGo,Banglore,Delhi,evening,evening,10500,0,No info,4823,6,6
Air India,Delhi,Cochin,mid_night,morning,10200,0,No info,6881,3,6
Jet Airways,Kolkata,Banglore,afternoon,evening,30600,1,In-flight meal not included,10844,5,9
IndiGo,Kolkata,Banglore,evening,evening,13200,1,No info,4226,4,24
Jet Airways,Delhi,Cochin,evening,evening,85500,1,In-flight meal not included,12373,5,9
Air India,Kolkata,Banglore,morning,evening,48600,2,No info,10697,6,6
Jet Airways,Mumbai,Hyderabad,morning,morning,5400,0,In-flight meal not included,4995,6,3
Air India,Delhi,Cochin,afternoon,evening,95700,2,No info,9443,6,24
Jet Airways,Delhi,Cochin,evening,mid_night,122400,2,No info,12347,3,21
Multiple carriers,Delhi,Cochin,afternoon,evening,28800,1,No info,7408,6,9
Jet Airways,Kolkata,Banglore,evening,morning,51900,1,In-flight meal not included,7064,4,1
Jet Airways,Delhi,Cochin,afternoon,mid_night,55500,1,In-flight meal not included,13843,3,6
IndiGo,Kolkata,Banglore,afternoon,evening,9300,0,No info,4174,4,12
Multiple carriers,Delhi,Cochin,morning,evening,33900,3,No info,16294,5,15
SpiceJet,Kolkata,Banglore,morning,morning,9300,0,No check-in baggage included,3841,5,18
IndiGo,Banglore,Delhi,mid_night,morning,10200,0,No info,4423,6,15
Air India,Delhi,Cochin,mid_night,morning,10200,0,No info,5201,6,12
Air India,Banglore,New Delhi,morning,morning,102300,2,No info,12599,3,3
IndiGo,Mumbai,Hyderabad,morning,morning,5400,0,No info,4049,5,21
Air India,Kolkata,Banglore,morning,morning,90300,2,No info,12797,5,24
Jet Airways,Kolkata,Banglore,evening,morning,52200,1,No info,13067,5,24
Vistara,Kolkata,Banglore,evening,evening,81000,1,No info,9345,5,24
IndiGo,Delhi,Cochin,mid_night,afternoon,25500,1,No info,6818,5,21
Jet Airways,Mumbai,Hyderabad,morning,morning,5400,0,No info,8040,5,3
Jet Airways,Delhi,Cochin,evening,afternoon,65700,2,No info,14300,6,12
Multiple carriers,Delhi,Cochin,evening,mid_night,26100,1,No info,13727,5,15
Jet Airways,Banglore,New Delhi,afternoon,morning,63000,1,In-flight meal not included,7832,3,21
Multiple carriers,Delhi,Cochin,mid_night,afternoon,32100,1,No info,16259,3,9
IndiGo,Banglore,Delhi,morning,morning,10200,0,No info,4823,6,27
Jet Airways,Banglore,New Delhi,morning,morning,74100,1,No info,16736,3,6
Air India,Kolkata,Banglore,morning,mid_night,72000,2,No info,13217,6,6
Multiple carriers,Delhi,Cochin,afternoon,evening,29400,1,No info,6637,3,27
Jet Airways,Kolkata,Banglore,evening,afternoon,61500,1,In-flight meal not included,10844,6,9
Multiple carriers,Delhi,Cochin,morning,evening,33300,1,In-flight meal not included,8401,3,21
SpiceJet,Kolkata,Banglore,morning,morning,8700,0,No info,3873,4,12
Jet Airways,Delhi,Cochin,evening,mid_night,30300,2,In-flight meal not included,12410,6,24
Jet Airways,Delhi,Cochin,evening,afternoon,48600,2,No info,15129,5,18
IndiGo,Banglore,Delhi,afternoon,afternoon,10200,0,No info,4423,5,1
Jet Airways,Delhi,Cochin,afternoon,evening,21600,1,No info,16079,5,27
Air India,Kolkata,Banglore,afternoon,morning,66300,2,No info,15894,6,6
Multiple carriers,Delhi,Cochin,mid_night,evening,50700,1,No info,9103,5,15
Air India,Delhi,Cochin,morning,morning,81000,1,No info,8991,6,12
Air India,Kolkata,Banglore,afternoon,evening,91800,2,No info,7893,4,1
IndiGo,Mumbai,Hyderabad,mid_night,mid_night,5400,0,No info,4575,3,3
SpiceJet,Kolkata,Banglore,morning,morning,8700,0,No info,3873,5,3
Jet Airways,Banglore,New Delhi,mid_night,evening,56100,1,In-flight meal not included,7832,3,21
IndiGo,Chennai,Kolkata,afternoon,afternoon,8400,0,No info,3597,5,1
Jet Airways,Kolkata,Banglore,evening,evening,94500,1,No info,13759,3,24
Jet Airways,Banglore,Delhi,evening,evening,11100,0,No info,7229,5,27
SpiceJet,Kolkata,Banglore,morning,morning,9300,0,No info,3873,4,15
Multiple carriers,Delhi,Cochin,morning,evening,46800,1,No info,9794,5,15
Air India,Delhi,Cochin,afternoon,morning,67500,1,No info,6681,3,27
IndiGo,Banglore,Delhi,evening,mid_night,10800,0,No info,4423,4,21
Jet Airways,Kolkata,Banglore,morning,evening,41100,1,In-flight meal not included,10844,5,15
IndiGo,Delhi,Cochin,morning,evening,42300,1,No info,7258,6,1
Jet Airways,Mumbai,Hyderabad,morning,morning,5400,0,In-flight meal not included,4995,6,12
Jet Airways,Delhi,Cochin,evening,evening,79500,1,No info,14924,6,9
Vistara,Banglore,New Delhi,morning,morning,99900,1,No info,6590,3,15
Jet Airways,Delhi,Cochin,evening,afternoon,56400,1,In-flight meal not included,10262,6,3
SpiceJet,Kolkata,Banglore,morning,morning,9000,0,No info,5515,3,9
Jet Airways,Delhi,Cochin,evening,evening,88500,2,In-flight meal not included,6643,3,27
IndiGo,Mumbai,Hyderabad,evening,evening,5400,0,No info,2754,6,24
IndiGo,Delhi,Cochin,afternoon,evening,18600,1,No info,6493,6,9
IndiGo,Kolkata,Banglore,evening,evening,19500,1,No info,6218,5,24
Air India,Delhi,Cochin,mid_night,evening,48000,2,No info,10861,6,6
IndiGo,Delhi,Cochin,morning,afternoon,30900,1,No info,7094,3,6
SpiceJet,Mumbai,Hyderabad,evening,mid_night,5100,0,No info,2227,3,24
Jet Airways,Banglore,Delhi,evening,evening,10800,0,In-flight meal not included,4544,4,21
Air India,Banglore,New Delhi,mid_night,afternoon,37800,2,No info,7664,3,21
Jet Airways,Banglore,Delhi,afternoon,evening,10800,0,No info,8016,6,27
Air Asia,Kolkata,Banglore,evening,mid_night,9000,0,No info,3807,5,27
Air India,Delhi,Cochin,morning,evening,43500,2,No info,12698,6,3
Jet Airways,Kolkata,Banglore,morning,mid_night,79800,1,In-flight meal not included,8586,5,24
Jet Airways,Kolkata,Banglore,morning,mid_night,79800,1,In-flight meal not included,7064,4,1
IndiGo,Delhi,Cochin,mid_night,morning,11700,0,No info,5601,6,9
SpiceJet,Delhi,Cochin,afternoon,evening,22800,1,No info,7317,5,21
Air India,Kolkata,Banglore,morning,morning,88200,3,No info,12797,5,6
IndiGo,Kolkata,Banglore,morning,morning,15300,1,No info,4226,4,6
Jet Airways,Kolkata,Banglore,afternoon,evening,23700,1,No info,14151,5,12
IndiGo,Delhi,Cochin,morning,mid_night,53400,1,No info,6628,3,27
IndiGo,Banglore,New Delhi,mid_night,morning,10200,0,No info,8033,3,9
Multiple carriers,Delhi,Cochin,morning,evening,30300,1,No info,11200,6,1
IndiGo,Kolkata,Banglore,afternoon,evening,9300,0,No info,4804,6,24
Air Asia,Kolkata,Banglore,evening,morning,43200,1,No info,5192,6,12
Jet Airways,Delhi,Cochin,morning,mid_night,67500,2,No info,13014,6,12
Jet Airways,Kolkata,Banglore,evening,evening,91500,1,In-flight meal not included,10844,5,21
Multiple carriers,Delhi,Cochin,morning,afternoon,30600,1,No info,15603,3,6
GoAir,Banglore,Delhi,morning,morning,10500,0,No info,4239,4,3
Jet Airways,Kolkata,Banglore,afternoon,morning,72000,1,No info,13044,6,12
Jet Airways,Delhi,Cochin,evening,evening,89100,1,In-flight meal not included,12898,5,27
SpiceJet,Kolkata,Banglore,morning,afternoon,31200,1,No info,6013,4,1
Jet Airways,Kolkata,Banglore,afternoon,evening,21900,1,No info,14781,5,6
Jet Airways,Delhi,Cochin,afternoon,mid_night,39300,1,No info,12557,3,21
Multiple carriers,Delhi,Cochin,mid_night,evening,50700,1,No info,13875,3,6
Jet Airways,Delhi,Cochin,morning,mid_night,67800,2,In-flight meal not included,11507,6,15
Air India,Kolkata,Banglore,afternoon,afternoon,9000,0,No info,5510,6,18
GoAir,Kolkata,Banglore,afternoon,mid_night,27600,1,No info,10198,3,24
Jet Airways,Kolkata,Banglore,morning,afternoon,26100,1,No info,8355,6,12
Jet Airways,Banglore,Delhi,evening,evening,11100,0,No info,8016,6,1
IndiGo,Delhi,Cochin,morning,evening,37500,1,No info,6314,5,27
Air India,Delhi,Cochin,mid_night,morning,10200,0,No info,5831,3,9
Jet Airways,Delhi,Cochin,evening,mid_night,33000,1,In-flight meal not included,10262,6,24
Multiple carriers,Delhi,Cochin,afternoon,mid_night,42000,1,In-flight meal not included,15136,3,6
Jet Airways,Banglore,New Delhi,evening,morning,49800,1,In-flight meal not included,7832,3,21
SpiceJet,Chennai,Kolkata,morning,morning,8100,0,No info,3859,3,24
IndiGo,Kolkata,Banglore,afternoon,afternoon,9000,0,No info,4174,4,6
Jet Airways,Banglore,New Delhi,mid_night,morning,20400,1,No info,19225,3,6
IndiGo,Delhi,Cochin,mid_night,evening,58500,1,No info,10518,3,9
IndiGo,Banglore,Delhi,morning,morning,10500,0,No info,4823,4,6
Air India,Banglore,New Delhi,morning,afternoon,9900,0,No info,7276,3,24
Multiple carriers,Delhi,Cochin,morning,evening,32400,1,No info,12192,6,9
Air Asia,Delhi,Cochin,afternoon,morning,51900,1,No info,11410,6,1
Jet Airways,Banglore,New Delhi,mid_night,afternoon,34200,1,No info,26890,3,1
IndiGo,Kolkata,Banglore,afternoon,afternoon,9000,0,No info,4804,6,27
Jet Airways,Kolkata,Banglore,evening,evening,93000,1,In-flight meal not included,10844,5,15
Air India,Delhi,Cochin,afternoon,evening,109200,2,No info,12436,6,12
IndiGo,Banglore,Delhi,morning,morning,10500,0,No info,4823,6,21
IndiGo,Mumbai,Hyderabad,evening,evening,5400,0,No info,2227,6,3
Jet Airways,Delhi,Cochin,evening,afternoon,56400,1,In-flight meal not included,10262,6,1
Jet Airways,Delhi,Cochin,morning,mid_night,73500,1,No info,17024,3,3
Jet Airways,Delhi,Cochin,morning,mid_night,79500,2,In-flight meal not included,9296,3,27
Air India,Delhi,Cochin,evening,evening,11100,0,No info,6094,6,6
Jet Airways,Kolkata,Banglore,morning,mid_night,72900,1,In-flight meal not included,8586,6,9
Jet Airways,Delhi,Cochin,morning,mid_night,78000,2,In-flight meal not included,10919,6,15
GoAir,Kolkata,Banglore,afternoon,mid_night,27300,1,No info,9495,6,9
Jet Airways,Delhi,Cochin,evening,mid_night,23700,1,No info,14714,6,12
Air India,Delhi,Cochin,afternoon,afternoon,10800,0,No info,5201,6,24
Air India,Delhi,Cochin,morning,morning,85200,2,No info,7090,3,27
IndiGo,Mumbai,Hyderabad,morning,morning,5400,0,No info,4575,5,15
Multiple carriers,Delhi,Cochin,morning,afternoon,32700,1,No info,9646,5,15
IndiGo,Delhi,Cochin,mid_night,morning,19500,1,No info,5636,6,12
Multiple carriers,Delhi,Cochin,morning,afternoon,32700,1,No info,9646,6,15
Jet Airways,Mumbai,Hyderabad,evening,evening,5400,0,In-flight meal not included,4050,3,9
Jet Airways,Delhi,Cochin,evening,evening,76200,1,No info,14714,6,9
IndiGo,Kolkata,Banglore,afternoon,afternoon,9000,0,No info,4804,6,18
Jet Airways,Delhi,Cochin,evening,evening,89100,1,In-flight meal not included,10577,6,9
GoAir,Banglore,Delhi,evening,evening,9900,0,No info,3898,6,15
Jet Airways,Kolkata,Banglore,evening,afternoon,57600,1,No info,14571,6,6
Jet Airways,Banglore,Delhi,morning,morning,9900,0,No info,8016,6,18
IndiGo,Delhi,Cochin,mid_night,afternoon,25500,1,No info,6287,3,21
Air India,Kolkata,Banglore,afternoon,morning,54300,1,No info,8366,6,6
Jet Airways,Delhi,Cochin,morning,evening,26400,1,In-flight meal not included,15400,3,6
Vistara,Banglore,New Delhi,evening,evening,9600,0,No info,8553,3,3
SpiceJet,Kolkata,Banglore,morning,morning,9300,0,No check-in baggage included,3841,4,9
Air India,Delhi,Cochin,mid_night,morning,92700,2,No info,10021,4,9
SpiceJet,Chennai,Kolkata,afternoon,evening,8400,0,No info,3597,6,24
IndiGo,Chennai,Kolkata,morning,afternoon,8700,0,No info,4332,5,24
GoAir,Banglore,Delhi,evening,evening,9900,0,No info,3898,6,21
Jet Airways,Mumbai,Hyderabad,afternoon,afternoon,99900,2,No info,21375,3,6
Vistara,Kolkata,Banglore,morning,evening,58500,1,No info,8610,6,6
IndiGo,Kolkata,Banglore,afternoon,evening,9300,0,No info,4804,6,15
Air India,Delhi,Cochin,afternoon,evening,103800,2,No info,13591,6,1
Jet Airways,Kolkata,Banglore,morning,afternoon,35400,1,No info,14781,5,6
Jet Airways,Banglore,New Delhi,morning,afternoon,18900,1,In-flight meal not included,9134,3,15
Air India,Delhi,Cochin,mid_night,morning,92700,2,No info,10493,6,9
Jet Airways,Banglore,New Delhi,morning,morning,76800,1,In-flight meal not included,8147,3,24
SpiceJet,Kolkata,Banglore,evening,mid_night,8400,0,No info,3873,6,21
Jet Airways,Kolkata,Banglore,evening,afternoon,61500,1,No info,14571,6,9
Air India,Banglore,New Delhi,morning,evening,39300,2,No info,11003,3,3
Jet Airways,Delhi,Cochin,evening,mid_night,33000,1,In-flight meal not included,10262,6,3
Jet Airways,Delhi,Cochin,mid_night,evening,59700,1,No info,12719,3,21
Jet Airways,Delhi,Cochin,evening,evening,79500,1,In-flight meal not included,10262,6,24
Air India,Banglore,Delhi,afternoon,evening,9900,0,No info,7171,6,21
SpiceJet,Banglore,Delhi,mid_night,morning,9600,0,No info,4423,4,27
Multiple carriers,Delhi,Cochin,afternoon,mid_night,29400,1,In-flight meal not included,12616,3,9
Air India,Delhi,Cochin,afternoon,evening,93600,2,No info,12970,6,1
Jet Airways,Kolkata,Banglore,evening,morning,46500,1,No info,14914,3,24
Jet Airways,Mumbai,Hyderabad,mid_night,mid_night,5100,0,In-flight meal not included,3210,5,6
GoAir,Banglore,Delhi,morning,morning,10500,0,No info,4632,4,21
Jet Airways,Delhi,Cochin,afternoon,mid_night,39300,1,In-flight meal not included,12373,5,9
IndiGo,Kolkata,Banglore,afternoon,afternoon,9000,0,No info,4804,6,15
Multiple carriers,Delhi,Cochin,morning,evening,33900,3,No info,21829,3,3
Multiple carriers,Delhi,Cochin,morning,evening,46800,1,No info,13587,6,1
Jet Airways,Delhi,Cochin,evening,mid_night,105600,2,No info,12819,6,27
Air Asia,Delhi,Cochin,evening,morning,39600,1,No info,6151,3,27
Jet Airways,Banglore,Delhi,afternoon,evening,10500,0,No info,8016,6,1
Multiple carriers,Delhi,Cochin,morning,evening,40800,1,No info,15135,3,6
IndiGo,Delhi,Cochin,afternoon,mid_night,30000,1,No info,6794,5,21
Vistara,Kolkata,Banglore,afternoon,evening,98400,1,No info,8610,5,15
Air India,Kolkata,Banglore,mid_night,afternoon,110400,2,No info,12723,5,18
Air India,Kolkata,Banglore,afternoon,afternoon,90900,1,No info,7662,6,6
Multiple carriers,Delhi,Cochin,afternoon,mid_night,30900,1,No info,14343,3,9
Multiple carriers,Delhi,Cochin,morning,mid_night,54600,1,No info,6795,6,1
SpiceJet,Kolkata,Banglore,evening,mid_night,8400,0,No info,3873,5,9
IndiGo,Mumbai,Hyderabad,evening,evening,5400,0,No info,2754,6,12
Air India,Mumbai,Hyderabad,morning,evening,54300,1,No info,16666,3,6
Multiple carriers,Delhi,Cochin,mid_night,afternoon,27600,1,No info,11098,6,1
Jet Airways,Kolkata,Banglore,afternoon,evening,104700,1,In-flight meal not included,10539,6,9
Air India,Delhi,Cochin,morning,evening,44100,1,No info,9929,5,27
Jet Airways,Kolkata,Banglore,afternoon,afternoon,85800,1,In-flight meal not included,10844,5,12
Jet Airways,Kolkata,Banglore,morning,afternoon,103800,1,No info,12692,6,6
Jet Airways,Delhi,Cochin,evening,mid_night,27300,1,In-flight meal not included,9212,3,21
Multiple carriers,Delhi,Cochin,afternoon,mid_night,37800,1,No info,13727,5,15
Air Asia,Banglore,Delhi,mid_night,morning,10200,0,No info,4282,6,15
Jet Airways,Kolkata,Banglore,evening,afternoon,77100,1,In-flight meal not included,10844,5,24
Air India,Delhi,Cochin,afternoon,morning,57900,1,No info,7480,6,27
IndiGo,Banglore,Delhi,afternoon,evening,10800,0,No info,4823,5,1
Jet Airways,Delhi,Cochin,evening,afternoon,49500,1,In-flight meal not included,12373,5,18
Multiple carriers,Delhi,Cochin,morning,evening,33600,1,No info,7215,3,21
Air India,Delhi,Cochin,morning,morning,98400,1,No info,7480,5,9
Multiple carriers,Delhi,Cochin,morning,evening,43200,1,No info,8143,6,24
IndiGo,Banglore,Delhi,evening,evening,10500,0,No info,4823,5,3
Jet Airways,Kolkata,Banglore,evening,morning,44100,1,In-flight meal not included,10844,6,6
SpiceJet,Banglore,Delhi,evening,mid_night,10500,0,No info,5621,4,12
Vistara,Kolkata,Banglore,evening,evening,86400,1,No info,9555,5,18
IndiGo,Banglore,New Delhi,mid_night,mid_night,9900,0,No info,4777,3,21
SpiceJet,Banglore,New Delhi,morning,afternoon,10500,0,No info,7648,3,3
IndiGo,Kolkata,Banglore,morning,afternoon,17700,1,No info,10308,4,1
Jet Airways,Delhi,Cochin,morning,evening,26400,2,No info,21219,5,24
IndiGo,Kolkata,Banglore,morning,afternoon,17700,1,No info,11319,5,6
Jet Airways,Kolkata,Banglore,evening,evening,84900,1,In-flight meal not included,10844,5,15
Multiple carriers,Delhi,Cochin,evening,mid_night,26100,1,No info,15078,5,9
SpiceJet,Mumbai,Hyderabad,evening,mid_night,5400,0,No info,2017,5,1
Air Asia,Kolkata,Banglore,evening,mid_night,9000,0,No info,4409,6,1
IndiGo,Delhi,Cochin,morning,afternoon,16500,1,No info,5054,6,9
Air India,Banglore,New Delhi,mid_night,evening,58800,2,No info,10111,3,15
SpiceJet,Banglore,New Delhi,evening,evening,10200,0,No check-in baggage included,4273,3,18
Air India,Kolkata,Banglore,afternoon,morning,54300,1,No info,8576,5,24
Jet Airways,Banglore,Delhi,afternoon,evening,10800,0,No info,8016,6,3
Jet Airways,Banglore,Delhi,afternoon,evening,10500,0,No info,8016,6,9
Jet Airways,Kolkata,Banglore,evening,evening,97800,1,No info,14151,5,18
IndiGo,Banglore,Delhi,morning,morning,9900,0,No info,4423,4,15
Jet Airways,Mumbai,Hyderabad,morning,morning,5100,0,In-flight meal not included,4050,6,15
Jet Airways,Kolkata,Banglore,afternoon,evening,20700,1,No info,14781,5,6
Jet Airways,Kolkata,Banglore,evening,morning,44100,1,In-flight meal not included,8586,5,15
Air Asia,Kolkata,Banglore,evening,evening,12900,1,No info,5162,5,21
Jet Airways,Kolkata,Banglore,evening,mid_night,27000,1,No info,13731,6,9
Jet Airways,Delhi,Cochin,afternoon,mid_night,55500,1,In-flight meal not included,7438,3,21
Jet Airways,Kolkata,Banglore,morning,morning,91200,1,No info,14151,5,15
Vistara,Banglore,Delhi,evening,evening,10200,0,No info,5613,4,12
IndiGo,Kolkata,Banglore,afternoon,evening,17400,1,No info,5380,5,15
Jet Airways,Delhi,Cochin,morning,mid_night,60900,1,In-flight meal not included,7438,3,21
Multiple carriers,Delhi,Cochin,morning,evening,55500,1,No info,9646,6,1
Air Asia,Delhi,Cochin,evening,morning,37500,1,No info,6853,5,15
Jet Airways,Banglore,New Delhi,afternoon,evening,22500,1,No info,13555,3,18
IndiGo,Delhi,Cochin,afternoon,mid_night,28800,1,No info,5883,6,15
IndiGo,Delhi,Cochin,mid_night,afternoon,25500,1,No info,6171,3,9
IndiGo,Mumbai,Hyderabad,afternoon,evening,5400,0,No info,3175,5,21
IndiGo,Delhi,Cochin,morning,afternoon,21300,1,No info,4832,3,27
Multiple carriers,Delhi,Cochin,afternoon,mid_night,34200,1,No info,13377,6,1
Jet Airways,Delhi,Cochin,evening,mid_night,31200,1,In-flight meal not included,10262,6,24
Jet Airways,Delhi,Cochin,evening,afternoon,66000,1,In-flight meal not included,10262,6,1
Air India,Delhi,Cochin,afternoon,morning,70800,2,No info,8603,5,18
Jet Airways,Kolkata,Banglore,morning,mid_night,79800,1,In-flight meal not included,8586,6,6
Vistara,Kolkata,Banglore,evening,morning,45900,1,No info,8452,5,21
Jet Airways,Kolkata,Banglore,evening,evening,83700,1,No info,14231,3,24
Jet Airways,Delhi,Cochin,morning,evening,39600,1,No info,16289,5,21
SpiceJet,Banglore,New Delhi,morning,afternoon,10500,0,No info,6860,3,3
IndiGo,Mumbai,Hyderabad,mid_night,mid_night,5400,0,No info,2754,5,9
Multiple carriers,Delhi,Cochin,morning,evening,55500,1,No info,9646,6,9
Air India,Chennai,Kolkata,morning,afternoon,8100,0,No info,4667,5,27
IndiGo,Kolkata,Banglore,afternoon,evening,9300,0,No info,4804,4,21
IndiGo,Banglore,New Delhi,mid_night,mid_night,9900,0,No info,4545,3,9
Jet Airways,Banglore,New Delhi,evening,evening,77400,1,No info,25735,3,1
Jet Airways,Delhi,Cochin,mid_night,mid_night,82500,2,No info,12647,3,21
Jet Airways,Kolkata,Banglore,afternoon,morning,65400,1,In-flight meal not included,8586,5,1
IndiGo,Chennai,Kolkata,evening,mid_night,8400,0,No info,5277,6,9
IndiGo,Delhi,Cochin,morning,mid_night,50700,1,No info,6206,3,27
Air Asia,Banglore,Delhi,morning,afternoon,9900,0,No info,4483,4,12
Vistara,Kolkata,Banglore,afternoon,evening,93000,1,No info,9870,5,24
SpiceJet,Kolkata,Banglore,afternoon,evening,9000,0,No check-in baggage included,3841,6,27
SpiceJet,Kolkata,Banglore,morning,morning,9000,0,No check-in baggage included,3815,3,27
IndiGo,Banglore,New Delhi,evening,mid_night,10200,0,No info,6860,3,24
Jet Airways,Kolkata,Banglore,evening,morning,52200,1,No info,12121,5,1
Jet Airways,Delhi,Cochin,morning,evening,32100,1,In-flight meal not included,5963,3,27
SpiceJet,Banglore,Delhi,mid_night,morning,9600,0,No info,3625,6,6
SpiceJet,Kolkata,Banglore,morning,morning,8700,0,No check-in baggage included,3841,6,15
IndiGo,Banglore,Delhi,evening,evening,10200,0,No info,4823,6,12
Multiple carriers,Delhi,Cochin,morning,afternoon,23100,1,No info,9646,6,12
Jet Airways,Delhi,Cochin,mid_night,afternoon,37200,1,In-flight meal not included,10152,5,27
IndiGo,Delhi,Cochin,morning,evening,56400,1,No info,7514,6,3
Jet Airways,Banglore,New Delhi,morning,evening,41100,1,No info,16736,3,6
Jet Airways,Kolkata,Banglore,evening,morning,54600,1,No info,13584,5,6
Air India,Kolkata,Banglore,morning,morning,84900,2,No info,11222,5,21
IndiGo,Chennai,Kolkata,morning,morning,8400,0,No info,3850,5,1
Vistara,Banglore,New Delhi,afternoon,afternoon,9600,0,No info,7608,3,24
Jet Airways,Kolkata,Banglore,evening,afternoon,73200,1,In-flight meal not included,10844,5,12
Multiple carriers,Delhi,Cochin,afternoon,mid_night,30600,1,No info,7408,6,9
Vistara,Chennai,Kolkata,morning,morning,8100,0,No info,3687,5,18
SpiceJet,Delhi,Cochin,afternoon,evening,22500,1,No info,11726,3,3
Jet Airways,Kolkata,Banglore,morning,morning,96600,1,In-flight meal not included,9663,5,6
Air India,Kolkata,Banglore,morning,afternoon,110700,2,No info,12829,3,24
IndiGo,Delhi,Cochin,afternoon,evening,18000,1,No info,6069,6,27
Jet Airways,Kolkata,Banglore,afternoon,evening,98400,1,In-flight meal not included,8529,6,12
Vistara,Kolkata,Banglore,afternoon,evening,23100,1,No info,8085,5,9
Vistara,Banglore,Delhi,evening,evening,9900,0,No info,4878,5,15
IndiGo,Banglore,Delhi,afternoon,afternoon,10200,0,No info,4077,4,3
IndiGo,Kolkata,Banglore,evening,mid_night,18900,1,No info,7605,5,9
Jet Airways,Delhi,Cochin,mid_night,mid_night,82500,2,No info,13014,6,15
IndiGo,Delhi,Cochin,morning,evening,53100,1,No info,11600,3,3
Jet Airways,Kolkata,Banglore,afternoon,morning,60300,1,No info,14151,5,12
Air India,Delhi,Cochin,afternoon,morning,66300,2,No info,12497,6,24
Jet Airways,Delhi,Cochin,mid_night,evening,59700,1,No info,17024,3,6
SpiceJet,Chennai,Kolkata,morning,afternoon,9300,0,No info,6300,3,9
Multiple carriers,Delhi,Cochin,afternoon,mid_night,28200,1,No info,15147,3,6
Multiple carriers,Delhi,Cochin,afternoon,mid_night,45600,1,No info,6795,6,1
IndiGo,Mumbai,Hyderabad,evening,evening,5100,0,No info,5755,3,3
Air India,Kolkata,Banglore,evening,afternoon,71100,1,No info,10203,5,12
Jet Airways,Delhi,Cochin,morning,mid_night,60900,1,No info,14714,6,6
IndiGo,Banglore,New Delhi,evening,mid_night,10200,0,No info,4545,3,18
Jet Airways,Kolkata,Banglore,morning,evening,51300,1,No info,14781,5,15
Air India,Banglore,New Delhi,morning,morning,99300,2,No info,11602,3,12
IndiGo,Mumbai,Hyderabad,morning,morning,5400,0,No info,4049,5,6
Jet Airways,Kolkata,Banglore,morning,evening,44400,1,No info,14571,6,9
Air India,Banglore,Delhi,morning,morning,9900,0,No info,6961,6,9
SpiceJet,Kolkata,Banglore,morning,afternoon,31200,1,No info,6381,5,15
SpiceJet,Kolkata,Banglore,morning,morning,9300,0,No check-in baggage included,3841,4,1
Jet Airways,Delhi,Cochin,morning,mid_night,79500,2,No info,11538,3,21
Vistara,Kolkata,Banglore,evening,evening,86400,1,No info,8610,5,6
Multiple carriers,Delhi,Cochin,morning,evening,50400,1,No info,7408,6,1
Jet Airways,Delhi,Cochin,evening,afternoon,60600,1,In-flight meal not included,10262,6,27
Air India,Kolkata,Banglore,mid_night,morning,97500,2,No info,10991,5,6
Multiple carriers,Delhi,Cochin,evening,mid_night,26100,1,No info,13587,6,9
Air India,Delhi,Cochin,afternoon,morning,75300,1,No info,7480,5,15
IndiGo,Banglore,New Delhi,afternoon,evening,18000,1,No info,6351,3,9
Multiple carriers,Delhi,Cochin,afternoon,evening,25200,1,In-flight meal not included,7153,5,27
Air Asia,Kolkata,Banglore,evening,evening,9000,0,No info,4409,5,6
IndiGo,Kolkata,Banglore,evening,mid_night,18900,1,No info,7228,5,15
Multiple carriers,Delhi,Cochin,morning,evening,39000,1,No info,11667,3,27
SpiceJet,Kolkata,Banglore,afternoon,evening,18900,1,No info,4649,6,12
Air India,Kolkata,Banglore,afternoon,afternoon,75300,2,No info,12592,5,9
Multiple carriers,Delhi,Cochin,morning,evening,31200,1,No info,11789,6,12
Air India,Chennai,Kolkata,morning,afternoon,8100,0,No info,4667,6,1
Air Asia,Kolkata,Banglore,evening,morning,43200,1,No info,9719,5,21
Air India,Delhi,Cochin,afternoon,evening,22500,1,No info,6902,3,27
Jet Airways,Kolkata,Banglore,evening,mid_night,31200,1,No info,14781,5,21
Jet Airways,Kolkata,Banglore,morning,evening,51000,1,In-flight meal not included,10844,5,18
Air India,Kolkata,Banglore,mid_night,afternoon,118500,2,No info,11522,3,24
Air India,Banglore,Delhi,afternoon,afternoon,10200,0,No info,6121,4,21
Vistara,Kolkata,Banglore,afternoon,evening,23100,1,No info,8610,6,6
Air Asia,Kolkata,Banglore,evening,mid_night,9000,0,No info,5620,3,24
IndiGo,Kolkata,Banglore,afternoon,afternoon,9000,0,No info,4804,5,27
Multiple carriers,Delhi,Cochin,morning,evening,38400,1,No info,7005,5,27
Jet Airways,Delhi,Cochin,evening,evening,71700,2,No info,15129,5,1
Jet Airways,Kolkata,Banglore,evening,mid_night,31200,1,In-flight meal not included,8586,5,24
Multiple carriers,Delhi,Cochin,morning,evening,39600,1,No info,10197,5,18
Multiple carriers,Delhi,Cochin,morning,evening,36300,1,No info,10667,3,27
IndiGo,Kolkata,Banglore,morning,afternoon,17700,1,No info,11160,6,12
Air India,Delhi,Cochin,afternoon,evening,111300,2,No info,12488,5,27
Jet Airways,Kolkata,Banglore,morning,evening,41100,1,In-flight meal not included,10844,5,18
Air India,Delhi,Cochin,afternoon,evening,95700,2,No info,9968,6,3
Jet Airways,Banglore,Delhi,evening,evening,11100,0,In-flight meal not included,5198,5,18
Jet Airways,Kolkata,Banglore,afternoon,mid_night,52500,1,In-flight meal not included,8586,5,1
